,position,band,song,first_letter,year
466,34,KISS,DETROIT ROCK CITY,K,1976
467,33,BOB DYLAN,HURRICANE,B,1975
468,32,PINK FLOYD,ANOTHER BRICK IN THE WALL PART,P,
469,31,THE BEATLES,LET IT BE,B,1970
470,30,METALLICA,ENTER SANDMAN,M,1991
471,29,DEEP PURPLE,SMOKE ON THE WATER,D,1973
472,28,THE DOORS,LIGHT MY FIRE,D,1967
473,27,JETHRO TULL,AQUALUNG,J,1971
474,26,LYNYRD SKYNYRD,FREE BIRD,L,1974
475,25,BLACK SABBATH,PARANOID,B,
476,24,AC/DC,THUNDERSTRUCK,A,1990
477,23,QUEEN,WE WILL ROCK YOU,Q,1977
478,22,DAVID BOWIE,HEROES,D,1977
479,21,RUSH,TOM SAWYER,R,1981
480,20,THE BEATLES,HEY JUDE,B,1968
481,19,AC/DC,HIGHWAY TO HELL,A,1979
482,18,AEROSMITH,DREAM ON,A,1973
483,17,PINK FLOYD,TIME,P,1974
484,16,IRON MAIDEN,THE NUMBER OF THE BEAST,I,2005
485,15,AC/DC,HELLS BELLS,A,1980
486,14,FOCUS,HOCUS POCUS,F,1973
487,13,DEEP PURPLE,PERFECT STRANGERS,D,1984
488,12,LED ZEPPELIN,ROCK AND ROLL,L,1972
489,11,IRON MAIDEN,FEAR OF THE DARK,I,1993
490,10,PINK FLOYD,COMFORTABLY NUMB,P,
491,9,THE WHO,BABA O’ RILEY,W,1971
492,8,THE ROLLING STONES,GIMME SHELTER,R,1969
493,7,LED ZEPPELIN,KASHMIR,L,1975
494,6,PEARL JAM,BLACK,P,
495,5,AC/DC,BACK IN BLACK,A,1980
496,4,RAINBOW,STARGAZER,R,1976
497,3,METALLICA,ONE,M,1989
498,2,LED ZEPPELIN,STAIRWAY TO HEAVEN,L,1971
499,1,QUEEN,BOHEMIAN RHAPSODY,Q,1975
