,position,band,song,first_letter,year,decade
407,93,RAMONES,I WANNA BE SEDATED,R,1978,1970s
408,92,QUEEN,RADIO GA GA,Q,1984,1980s
409,91,PEARL JAM,JEREMY,P,1992,1990s
410,90,JUDAS PRIEST,LIVING AFTER MIDNIGHT,J,1980,1980s
411,89,THE DOORS,ROADHOUSE BLUES,D,1970,1970s
412,88,THE WHO,MY GENERATION,W,1965,1960s
413,87,LED ZEPPELIN,GOOD TIMES BAD TIMES,L,1969,1960s
414,86,THE JIMI HENDRIX EXPERIENCE,CROSSTOWN TRAFFIC,J,1968,1960s
415,85,DEEP PURPLE,BURN,D,1974,1970s
416,84,QUEEN,I WANT TO BREAK FREE,Q,1984,1980s
417,83,THE CURE,FRIDAY I'M IN LOVE,C,1992,1990s
418,82,GUNS N' ROSES,SWEET CHILD O' MINE,G,1989,1980s
419,81,YES,OWNER OF A LONELY HEART,Y,1983,1980s
420,80,VAN HALEN,AIN'T TALKIN' 'BOUT LOVE,V,1978,1970s
421,79,OZZY OSBOURNE,MAMA I'M COMING HOME,O,1992,1990s
422,78,KANSAS,CARRY ON WAYWARD SON,K,1976,1970s
423,77,THE DOORS,BREAK ON THROUGH (TO THE OTHER SIDE),D,1967,1960s
424,76,GRETA VAN FLEET,HIGHWAY TUNE,G,2017,2010s
425,75,THE WHO,WHO ARE YOU?,W,1978,1970s
426,74,LED ZEPPELIN,WHOLE LOTTA LOVE,L,1969,1960s
427,73,ERIC CLAPTON,COCAINE,E,1977,1970s
428,72,MORRISSEY,SUEDEHEAD,M,1988,1980s
429,71,THE CULT,FIRE WOMAN,C,1989,1980s
430,70,BON JOVI,LIVIN' ON A PRAYER,B,1986,1980s
431,69,THE CURE,IN BETWEEN DAYS,C,1985,1980s
432,68,THE POLICE,EVERY BREATH YOU TAKE,P,1983,1980s
433,67,MIDNIGHT OIL,BEDS ARE BURNING,M,1987,1980s
434,66,JUDAS PRIEST,BREAKING THE LAW,J,1980,1980s
435,65,PINK FLOYD,MOTHER,P,1979,1970s
436,64,QUEEN,ANOTHER ONE BITES THE DUST,Q,1980,1980s
437,63,RAMONES,BLITZKRIEG BOP,R,1976,1970s
438,62,THE ROLLING STONES,(I CAN'T GET NO) SATISFACTION,R,1965,1960s
439,61,U2,BAD,U,1984,1980s
440,60,GUNS N' ROSES,WELCOME TO THE JUNGLE,G,1988,1980s
441,59,DIRE STRAITS,SULTANS OF SWING,D,1978,1970s
442,58,LED ZEPPELIN,BLACK DOG,L,1971,1970s
443,57,VAN HALEN,PANAMA,V,1984,1980s
444,56,THE BEATLES,HELP!,B,1965,1960s
445,55,NIRVANA,SMELLS LIKE TEEN SPIRIT,N,1991,1990s
446,54,PINK FLOYD,WISH YOU WERE HERE,P,1975,1970s
447,53,CREEDENCE CLEARWATER REVIVAL,HAVE YOU EVER SEEN THE RAIN,C,1971,1970s
448,52,EAGLES,HOTEL CALIFORNIA,E,1977,1970s
449,51,DIO,HOLY DIVER,D,1983,1980s
450,50,QUEEN & DAVID BOWIE,UNDER PRESSURE,Q,1981,1980s
451,49,LYNYRD SKYNYRD,SIMPLE MAN,L,1973,1970s
452,48,AC/DC,T.N.T.,A,1976,1970s
453,47,THE CULT,SHE SELLS SANCTUARY,C,1985,1980s
454,46,MOTÖRHEAD,ACE OF SPADES,M,1980,1980s
455,45,AC/DC,JAILBREAK,A,1976,1970s
456,44,VAN HALEN,JUMP,V,1983,1980s
457,43,METALLICA,THE UNFORGIVEN,M,1991,1990s
458,42,LED ZEPPELIN,IMMIGRANT SONG,L,1970,1970s
459,41,OZZY OSBOURNE,CRAZY TRAIN,O,1980,1980s
460,40,RAINBOW,LONG LIVE ROCK 'N' ROLL,R,1978,1970s
461,39,DEEP PURPLE,HIGHWAY STAR,D,1972,1970s
462,38,QUEEN,LOVE OF MY LIFE,Q,1975,1970s
463,37,PEARL JAM,ALIVE,P,1991,1990s
464,36,U2,SUNDAY BLOODY SUNDAY,U,1983,1980s
465,35,BLACK SABBATH,IRON MAN,B,1971,1970s
466,34,KISS,DETROIT ROCK CITY,K,1976,1970s
467,33,BOB DYLAN,HURRICANE,B,1975,1970s
468,32,PINK FLOYD,ANOTHER BRICK IN THE WALL PART,P,1979,1970s
469,31,THE BEATLES,LET IT BE,B,1970,1970s
470,30,METALLICA,ENTER SANDMAN,M,1991,1990s
471,29,DEEP PURPLE,SMOKE ON THE WATER,D,1973,1970s
472,28,THE DOORS,LIGHT MY FIRE,D,1967,1960s
473,27,JETHRO TULL,AQUALUNG,J,1971,1970s
474,26,LYNYRD SKYNYRD,FREE BIRD,L,1974,1970s
475,25,BLACK SABBATH,PARANOID,B,1970,1970s
476,24,AC/DC,THUNDERSTRUCK,A,1990,1990s
477,23,QUEEN,WE WILL ROCK YOU,Q,1977,1970s
478,22,DAVID BOWIE,HEROES,D,1977,1970s
479,21,RUSH,TOM SAWYER,R,1981,1980s
480,20,THE BEATLES,HEY JUDE,B,1968,1960s
481,19,AC/DC,HIGHWAY TO HELL,A,1979,1970s
482,18,AEROSMITH,DREAM ON,A,1973,1970s
483,17,PINK FLOYD,TIME,P,1974,1970s
484,16,IRON MAIDEN,THE NUMBER OF THE BEAST,I,2005,2000s
485,15,AC/DC,HELLS BELLS,A,1980,1980s
486,14,FOCUS,HOCUS POCUS,F,1973,1970s
487,13,DEEP PURPLE,PERFECT STRANGERS,D,1984,1980s
488,12,LED ZEPPELIN,ROCK AND ROLL,L,1972,1970s
489,11,IRON MAIDEN,FEAR OF THE DARK,I,1993,1990s
490,10,PINK FLOYD,COMFORTABLY NUMB,P,1980,1980s
491,9,THE WHO,BABA O' RILEY,W,1971,1970s
492,8,THE ROLLING STONES,GIMME SHELTER,R,1969,1960s
493,7,LED ZEPPELIN,KASHMIR,L,1975,1970s
494,6,PEARL JAM,BLACK,P,1991,1990s
495,5,AC/DC,BACK IN BLACK,A,1980,1980s
496,4,RAINBOW,STARGAZER,R,1976,1970s
497,3,METALLICA,ONE,M,1989,1980s
498,2,LED ZEPPELIN,STAIRWAY TO HEAVEN,L,1971,1970s
499,1,QUEEN,BOHEMIAN RHAPSODY,Q,1975,1970s
